epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1625,0.74814,2.12722,1.30908,0.65954,0.7374,0.7128,0.42817,1.20108,2.34986,1.31952,0.000474413,0.000474413,0.000474413
2,114.762,0.53344,1.21224,1.12005,0.58779,0.79042,0.79849,0.57588,0.96451,1.31166,0.96447,0.000931921,0.000931921,0.000931921
3,172.664,0.47685,0.94356,1.06323,0.65805,0.65409,0.65602,0.43196,1.04211,1.42758,1.07568,0.00137057,0.00137057,0.00137057
4,230.223,0.4375,0.82866,1.02745,0.69348,0.62924,0.68741,0.43642,1.14048,1.29843,1.18651,0.00134412,0.00134412,0.00134412
5,287.746,0.40792,0.75459,0.99502,0.80587,0.85086,0.85825,0.69169,0.68678,0.87114,0.7928,0.00131582,0.00131582,0.00131582
6,345.469,0.38044,0.6952,0.97652,0.77023,0.8586,0.87609,0.69865,0.70873,0.86883,0.76999,0.00128753,0.00128753,0.00128753
7,403.021,0.35469,0.65183,0.95022,0.71954,0.73353,0.78875,0.6309,0.72921,0.97247,0.79343,0.00125923,0.00125923,0.00125923
8,460.302,0.34277,0.60677,0.94296,0.75633,0.84071,0.85803,0.66953,0.75106,0.9344,0.79915,0.00123094,0.00123094,0.00123094
9,517.671,0.33188,0.59922,0.9367,0.83502,0.8562,0.88036,0.73832,0.62756,0.82074,0.71613,0.00120265,0.00120265,0.00120265
10,575.194,0.31567,0.57787,0.93095,0.86933,0.84986,0.90834,0.75433,0.63747,0.717,0.66814,0.00117435,0.00117435,0.00117435
11,632.58,0.31612,0.558,0.927,0.85868,0.79363,0.88557,0.74703,0.58658,0.8225,0.67442,0.00114606,0.00114606,0.00114606
12,689.924,0.30512,0.53639,0.91937,0.86681,0.86477,0.92028,0.80391,0.58247,0.71836,0.66691,0.00111776,0.00111776,0.00111776
13,747.308,0.29469,0.51358,0.91549,0.83539,0.82146,0.85065,0.7234,0.63725,0.81399,0.73265,0.00108947,0.00108947,0.00108947
14,804.438,0.2869,0.49837,0.90853,0.83925,0.84176,0.89851,0.77254,0.58255,0.72475,0.65916,0.00106118,0.00106118,0.00106118
15,861.79,0.28588,0.48341,0.90429,0.85768,0.89728,0.91991,0.82842,0.53381,0.66249,0.61533,0.00103288,0.00103288,0.00103288
16,919.066,0.27751,0.47295,0.90376,0.8017,0.83788,0.90456,0.77723,0.57625,0.83194,0.66623,0.00100459,0.00100459,0.00100459
17,976.431,0.27491,0.44909,0.89881,0.89618,0.84594,0.92465,0.82057,0.5668,0.65467,0.64373,0.000976293,0.000976293,0.000976293
18,1034.67,0.26231,0.43593,0.8959,0.85807,0.8754,0.91929,0.80941,0.53101,0.65868,0.64894,0.000947999,0.000947999,0.000947999
19,1095.87,0.25673,0.43458,0.88941,0.87441,0.89768,0.93042,0.83388,0.52409,0.58598,0.64534,0.000919704,0.000919704,0.000919704
20,1155.95,0.26024,0.4194,0.89403,0.82493,0.90816,0.91326,0.80393,0.50706,0.63757,0.63659,0.00089141,0.00089141,0.00089141
