epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4494,1.80658,3.39754,1.96935,0.20672,0.28514,0.1509,0.0627,1.90908,3.33188,2.00204,0.000473928,0.000473928,0.000473928
2,52.3687,1.82874,2.76684,1.99221,0.29342,0.20116,0.1627,0.07218,1.87352,2.90836,1.95945,0.000931446,0.000931446,0.000931446
3,72.4202,1.81471,2.47587,1.98761,0.27324,0.27657,0.17195,0.0665,2.13054,2.92388,2.19732,0.0013701,0.0013701,0.0013701
4,92.3775,1.77242,2.28444,1.94372,0.35852,0.29816,0.2333,0.09407,2.03286,2.58143,2.141,0.00134412,0.00134412,0.00134412
5,113.081,1.70549,2.13073,1.89592,0.3202,0.28954,0.24765,0.10389,1.97353,2.67313,2.0939,0.00131582,0.00131582,0.00131582
6,133.426,1.64864,2.00861,1.83603,0.33997,0.35333,0.24116,0.10954,1.9007,2.55172,1.98469,0.00128753,0.00128753,0.00128753
7,153.886,1.59186,1.86383,1.77638,0.43055,0.29196,0.27774,0.12926,1.84844,2.42266,1.98033,0.00125923,0.00125923,0.00125923
8,174.501,1.53762,1.75851,1.74104,0.35805,0.3114,0.2434,0.10544,2.0371,2.45591,2.07719,0.00123094,0.00123094,0.00123094
9,194.614,1.50838,1.66913,1.71011,0.52201,0.34304,0.29117,0.14139,1.89626,2.48649,1.95895,0.00120265,0.00120265,0.00120265
10,215.516,1.44062,1.57501,1.65581,0.40392,0.37793,0.29396,0.14446,1.86831,2.33342,1.98791,0.00117435,0.00117435,0.00117435
11,235.492,1.43542,1.5323,1.6406,0.34381,0.38364,0.26286,0.12996,1.87602,2.36402,1.996,0.00114606,0.00114606,0.00114606
12,255.661,1.39638,1.44524,1.61127,0.52507,0.2799,0.28009,0.14093,1.95662,2.46112,2.0586,0.00111776,0.00111776,0.00111776
13,275.677,1.33392,1.37816,1.56517,0.41099,0.36776,0.29074,0.14932,1.8851,2.2984,1.9967,0.00108947,0.00108947,0.00108947
14,295.813,1.32155,1.33207,1.56537,0.47223,0.38075,0.29582,0.15831,1.89022,2.33133,1.98411,0.00106118,0.00106118,0.00106118
15,315.854,1.28587,1.28873,1.52695,0.48994,0.3248,0.29773,0.15397,1.86499,2.33238,1.99548,0.00103288,0.00103288,0.00103288
16,335.762,1.25153,1.2313,1.50085,0.39589,0.33003,0.24901,0.13875,1.90346,2.39642,1.97606,0.00100459,0.00100459,0.00100459
17,355.841,1.23381,1.19738,1.48592,0.41905,0.3929,0.29654,0.14711,1.91221,2.38756,2.04147,0.000976293,0.000976293,0.000976293
18,375.923,1.19722,1.15449,1.45442,0.42601,0.36681,0.30649,0.15123,1.89076,2.30662,2.02846,0.000947999,0.000947999,0.000947999
19,395.978,1.16596,1.10355,1.42593,0.46976,0.3451,0.2977,0.15307,1.91326,2.49943,2.0781,0.000919704,0.000919704,0.000919704
