epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1946,0.95932,2.50658,1.37759,0.75403,0.775,0.91563,0.51479,1.44245,2.0988,1.63903,0.000473319,0.000473319,0.000473319
2,46.5528,0.77206,1.44372,1.19895,0.84619,0.84451,0.87358,0.54842,1.31051,1.42061,1.18905,0.000930849,0.000930849,0.000930849
3,63.4927,0.72131,1.04185,1.17245,0.57898,0.84951,0.70846,0.36224,1.41075,1.35414,1.39285,0.00136952,0.00136952,0.00136952
4,79.9914,0.6754,0.83629,1.12504,0.75379,0.82253,0.85253,0.49519,1.278,1.05084,1.30678,0.00134412,0.00134412,0.00134412
5,96.2312,0.62095,0.71524,1.08512,0.85262,0.80998,0.90439,0.5997,0.99837,0.95201,1.05051,0.00131582,0.00131582,0.00131582
6,112.554,0.58321,0.65714,1.06711,0.82371,0.94951,0.9635,0.7098,0.92801,0.7738,0.96879,0.00128753,0.00128753,0.00128753
7,128.898,0.56271,0.62765,1.04732,0.89204,0.95451,0.9504,0.73462,0.80654,0.74581,0.94679,0.00125923,0.00125923,0.00125923
8,145.275,0.55104,0.57569,1.02271,0.81449,0.91928,0.93798,0.69995,0.87247,0.96017,0.95898,0.00123094,0.00123094,0.00123094
9,161.729,0.51525,0.55075,1.00278,0.94919,0.965,0.98451,0.81586,0.72769,0.76927,0.88853,0.00120265,0.00120265,0.00120265
10,178.026,0.50138,0.52297,0.99395,0.75108,0.93417,0.96578,0.79094,0.7667,0.81625,0.85333,0.00117435,0.00117435,0.00117435
11,194.361,0.50858,0.51283,0.98885,0.90667,0.95681,0.96834,0.79378,0.76447,0.67804,0.81682,0.00114606,0.00114606,0.00114606
12,210.673,0.50254,0.51574,0.98578,0.92901,0.97,0.97376,0.80585,0.70223,0.6139,0.81753,0.00111776,0.00111776,0.00111776
13,226.996,0.46327,0.47367,0.96569,0.79495,0.97185,0.99028,0.84762,0.63345,0.66845,0.79286,0.00108947,0.00108947,0.00108947
14,243.337,0.47191,0.47567,0.96867,0.8746,0.92861,0.94675,0.81332,0.65231,0.68857,0.77417,0.00106118,0.00106118,0.00106118
